1,39.21,39.21,40.53
2,39.22,39.22,39.31
3,38.93,38.93,38.97
4,40.03,40.03,40.07
5,40.03,40.03,40.06
6,40.57,40.57,40.57
7,38.1,38.1,38.11
8,39.93,39.93,39.94
9,39.04,39.04,39.05
10,38.91,38.91,38.91
11,39.2,39.2,39.2
12,36.62,36.62,37.79
13,39.81,39.81,39.96
14,39.59,39.59,39.59
15,39.17,39.17,39.17
16,40.23,40.23,40.23
17,38.94,38.94,38.94
18,40.57,40.57,40.57
19,40.46,40.46,40.47
20,39.21,39.21,39.21
21,40.1,40.1,40.1
22,39.17,39.17,39.17
23,39.41,39.41,39.41
24,39.63,39.63,39.63
25,39.56,39.56,39.57
26,40.08,40.08,40.08
27,40.09,40.09,40.09
28,39.12,39.12,39.12
29,39.48,39.48,39.48
30,40.08,40.08,40.08
31,39.68,39.68,39.68
32,39.56,39.56,39.56
33,39.59,39.59,39.59
34,38.34,38.34,38.34
35,38.89,38.89,38.89
36,40,40,40
37,39.17,39.17,39.17
38,39.37,39.37,39.37
39,40.09,40.09,40.09
40,40.13,40.13,40.13
41,39.32,39.32,39.32
42,39.85,39.85,39.85
43,38.63,38.63,38.63
44,39.2,39.2,39.2
45,39.27,39.27,39.27
46,39.45,39.45,39.45
47,39.86,39.86,39.86
48,39.66,39.66,39.66
49,40.38,40.38,40.38
50,39.71,39.71,39.71
51,40.7,40.7,40.7
52,39.86,39.86,39.86
53,39.5,39.5,39.5
54,39.62,39.62,39.62
55,39.63,39.63,39.63
56,40.32,40.32,40.32
57,39.4,39.4,39.4
58,39.32,39.32,39.32
59,40.05,40.05,40.05
60,39.98,39.98,39.98
61,39.97,39.97,39.97
62,40.41,40.41,40.41
63,38.94,38.94,38.94
64,39.66,39.66,39.66
65,39.91,39.91,39.91
66,39.44,39.44,39.44
67,38.56,38.56,38.56
68,39.94,39.94,39.94
69,40.2,40.2,40.2
70,39.57,39.57,39.57
71,39.98,39.98,39.98
72,38.54,38.54,38.54
73,40.17,40.17,40.17
74,38.7,38.7,38.7
75,39.61,39.61,39.61
76,40.24,40.24,40.24
77,39.83,39.83,39.83
78,40.71,40.71,40.71
79,40.44,40.44,40.44
80,39.55,39.55,39.55
81,39.38,39.38,39.38
82,40.08,40.08,40.08
83,40.14,40.14,40.14
84,40.22,40.22,40.22
85,39.4,39.4,39.4
86,40.25,40.25,40.25
87,40.63,40.63,40.63
88,38.91,38.91,38.91
89,38.85,38.85,38.85
90,39.01,39.01,39.01
91,39.29,39.29,39.29
92,39.69,39.69,39.69
93,39.78,39.78,39.78
94,39.12,39.12,39.12
95,39.97,39.97,39.97
96,39.47,39.47,39.47
97,39.89,39.89,39.89
98,39.73,39.73,39.73
99,40.05,40.05,40.05
100,39.29,39.29,39.29
101,38.88,38.88,38.88
1,60.72,60.72,63.26
2,58.53,58.53,66.01
3,57.41,57.41,64.46
4,56.52,56.52,62.94
5,56.4,56.4,63.03
6,55.12,55.12,60.63
7,56.47,56.47,61.67
8,58.02,57.65,62.11
9,60.31,58.57,62.87
10,57.52,55.83,59.92
11,56.99,55.12,59.1
12,56.49,54.85,58.68
13,57.69,56.02,59.45
14,58.91,57.19,60.36
15,58.13,56.09,59.73
16,59.73,58.01,61.31
17,58.07,56.19,59.19
18,57.89,55.75,58.81
19,60.52,58.54,61.3
20,57.88,55.74,58.47
21,57.88,55.91,58.43
22,56.73,54.31,56.71
23,58.59,56.36,58.86
24,57.03,54.7,57.64
25,59.9,57.44,59.65
26,60.09,57.54,59.66
27,59,56.67,58.68
28,59.59,56.78,59.03
29,58.46,55.76,57.89
30,57.93,55.27,57.56
31,56.9,54.02,56.38
32,57.18,54.33,56.91
33,59.17,56.56,58.45
34,62.14,59.68,61.72
35,61.81,58.69,61.31
36,59.93,57.19,59.53
37,59.94,57.28,59.42
38,58.54,55.66,58.05
39,60.89,57.87,60.21
40,57.9,54.82,57.06
41,57.55,55.1,57.05
42,58.67,56.22,58.21
43,57.71,55.16,56.95
44,57.31,54.8,56.48
45,57,54.25,56.27
46,56.43,53.65,55.62
47,56.4,53.8,55.52
48,55.52,52.8,54.81
49,58.61,56.53,58.35
50,59.6,57.34,59.08
51,61.6,59.62,61.23
52,58.76,56.66,58.2
53,57.64,55.44,57.23
54,60.3,57.86,59.38
55,59.96,57.38,59.14
56,62.58,60.14,61.91
57,62.39,60.62,62.08
58,59.17,56.86,58.67
