129,43,40.1,36.55,99.55,2.9
130,39.79,37.26,34.05,99.49,2.53
131,43.89,40.83,37.73,99.34,3.06
132,42.45,39.84,36.26,99.54,2.61
133,41.12,38.42,35.22,99.32,2.7
134,40.14,37.49,34.1,99.37,2.65
135,41.74,38.71,35.41,99.35,3.03
136,41.04,39.07,35.72,99.29,1.97
137,36.63,33.98,30.9,99.33,2.65
138,41.28,38.33,35.05,99.46,2.95
139,41.88,39.31,35.83,99.54,2.57
140,41.44,38.85,35.79,99.48,2.59
141,40.73,38.26,35.29,99.39,2.47
142,41.85,39.03,35.77,99.55,2.82
143,41.95,39.69,36.38,99.53,2.26
144,40.47,37.92,34.79,99.48,2.55
145,43.72,41.55,38.28,99.5,2.17
146,42.46,40.06,36.83,99.59,2.4
147,43.08,40.65,37.42,99.37,2.43
148,45.27,42.72,39.25,99.34,2.55
149,44.53,42.45,38.58,99.58,2.08001
150,42.16,39.75,36.53,99.36,2.41
151,39.75,37.33,34.36,99.57,2.42
152,40.59,38.17,34.82,99.56,2.42
153,42.3,39.93,36.63,99.56,2.37
154,41.49,38.97,35.78,99.53,2.52
155,40.54,37.99,34.72,98.78,2.55
156,40.7,37.84,34.71,98.36,2.86
157,38.85,35.75,32.78,98.34,3.1
158,42.91,40.37,37.05,98.95,2.54
159,44.25,41.7,38.4,99.53,2.55
160,46.17,43.54,40.28,99.46,2.63
161,43.27,40.45,37.12,99.59,2.82
162,42.95,40.07,36.89,99.49,2.88
163,41.78,39.47,36.21,99.66,2.31001
164,39.73,36.63,33.53,99.58,3.1
165,40.31,37.51,34.65,99.64,2.8
166,40.97,38.13,35.26,99.6,2.84
167,40.96,38.11,34.9,99.56,2.85
168,42.81,40.32,37.17,99.68,2.49
169,41.12,38.39,35.22,99.66,2.73
170,46.06,43.86,40.25,99.49,2.2
171,46.11,43.86,40.37,99.52,2.25
172,44.52,41.67,38.34,99.49,2.85
173,41.16,38.82,35.7,99.61,2.34
174,41.12,38.34,35.12,99.59,2.78
175,41.72,38.77,35.59,99.5,2.95
176,37.33,34.56,31.83,99.78,2.77
177,41.12,38.58,35.64,99.6,2.54
178,42.18,39.55,36.09,99.66,2.63
179,38.55,35.62,32.62,99.7,2.93
180,44.07,41.2,37.83,99.66,2.87
181,45.95,43.52,39.63,99.56,2.43
182,41.9,39.41,36.12,99.53,2.49
183,41.2,38.64,35.43,99.65,2.56
184,42.11,39.44,36.14,99.48,2.67
185,43.82,41.03,37.75,99.63,2.79
186,41.24,38.89,35.74,99.65,2.35
187,41.63,39.04,35.57,99.71,2.59
188,40.69,37.98,34.74,99.61,2.71
189,42.79,40.15,36.59,99.56,2.64
190,43.8,40.92,37.74,99.56,2.88
191,41.29,38.67,35.26,99.67,2.62
192,43.83,40.84,37.52,99.66,2.99
193,42.19,39.44,36.3,99.59,2.75
194,43.01,40.13,37.22,99.7,2.88
195,40,37.11,34.14,99.63,2.89
196,40.16,37.31,34.23,99.52,2.85
197,43.57,40.79,37.22,99.62,2.78
198,43.69,41.1,37.87,99.69,2.59
